Filename,Label
seis_sensor_processed_20220509_002321.142+0000.prodml.h5,0
seis_sensor_processed_20220509_005521.142+0000.prodml.h5,0
seis_sensor_processed_20220509_004221.142+0000.prodml.h5,0
seis_sensor_processed_20220509_004821.142+0000.prodml.h5,0
seis_sensor_processed_20220509_004121.142+0000.prodml.h5,0
seis_sensor_processed_20220509_003621.142+0000.prodml.h5,0
seis_sensor_processed_20220509_005321.142+0000.prodml.h5,0
seis_sensor_processed_20220509_004421.142+0000.prodml.h5,0
seis_sensor_processed_20220509_000321.142+0000.prodml.h5,0
seis_sensor_processed_20220509_005221.142+0000.prodml.h5,0
seis_sensor_processed_20220509_005421.142+0000.prodml.h5,0
seis_sensor_processed_20220509_001521.142+0000.prodml.h5,0
seis_sensor_processed_20220509_000221.142+0000.prodml.h5,0
seis_sensor_processed_20220509_002621.142+0000.prodml.h5,0
seis_sensor_processed_20220509_002421.142+0000.prodml.h5,0
seis_sensor_processed_20220509_001021.142+0000.prodml.h5,0
seis_sensor_processed_20220509_000421.142+0000.prodml.h5,0
seis_sensor_processed_20220509_004721.142+0000.prodml.h5,0
seis_sensor_processed_20220509_000121.142+0000.prodml.h5,0
seis_sensor_processed_20220509_001921.142+0000.prodml.h5,0
seis_sensor_processed_20220509_000921.142+0000.prodml.h5,0
seis_sensor_processed_20220509_003121.142+0000.prodml.h5,0
seis_sensor_processed_20220509_001821.142+0000.prodml.h5,0
seis_sensor_processed_20220509_003221.142+0000.prodml.h5,0
seis_sensor_processed_20220509_000021.142+0000.prodml.h5,0
seis_sensor_processed_20220509_000521.142+0000.prodml.h5,0
seis_sensor_processed_20220509_002521.142+0000.prodml.h5,0
seis_sensor_processed_20220509_005021.142+0000.prodml.h5,0
seis_sensor_processed_20220509_001321.142+0000.prodml.h5,0
seis_sensor_processed_20220509_001421.142+0000.prodml.h5,0
seis_sensor_processed_20220509_003321.142+0000.prodml.h5,0
seis_sensor_processed_20220509_000621.142+0000.prodml.h5,0
seis_sensor_processed_20220509_004521.142+0000.prodml.h5,0
seis_sensor_processed_20220509_004021.142+0000.prodml.h5,0
seis_sensor_processed_20220509_003521.142+0000.prodml.h5,0
seis_sensor_processed_20220509_003021.142+0000.prodml.h5,0
seis_sensor_processed_20220509_004321.142+0000.prodml.h5,0
seis_sensor_processed_20220509_002121.142+0000.prodml.h5,0
seis_sensor_processed_20220509_002821.142+0000.prodml.h5,0
seis_sensor_processed_20220509_003721.142+0000.prodml.h5,0
